"SampleID","Pot","Intensity","Frequency","Composition","N","H","PC1","PC2","Category"
"DL85-B-M","Pot-85","Dry","Low","Heterospecific",32,7.58,2.69972731995606,0.0568736675648343,"Physiological"
"DL86-B-M","Pot-86","Dry","Low","Heterospecific",33,6.86,2.76765732761941,0.227059695760804,"Physiological"
"DL87-B-M","Pot-87","Dry","Low","Heterospecific",26,8.38,2.15442398987179,-1.01890900926513,"Physiological"
"DL88-B-M","Pot-88","Dry","Low","Heterospecific",14,11.05,-0.21592108091329,0.576710137645694,"Physiological"
"DL89-B-M","Pot-89","Dry","Low","Heterospecific",10,11.9,0.234703358250805,1.6755574532306,"Physiological"
"DL90-B-M","Pot-90","Dry","Low","Heterospecific",26,8.26,2.9463903618861,1.19986709679268,"Physiological"
"DH96-B-S","Pot-96","Dry","High","Conspecific",25,9.22,2.48951347723587,0.0131118808682444,"Physiological"
"DH97-B-S","Pot-97","Dry","High","Conspecific",19,12.8,1.11836185610984,2.17215883966697,"Physiological"
"DH98-B-S","Pot-98","Dry","High","Conspecific",15,15.5,2.8366724433109,-1.41013324886487,"Physiological"
"DH114-B-M","Pot-114","Dry","High","Heterospecific",28,10.32,0.697084377772442,-1.01990684424908,"Physiological"
"DH117-B-M","Pot-117","Dry","High","Heterospecific",28,10.9,1.43023869359983,0.737628142457646,"Physiological"
"DH119-B-M","Pot-119","Dry","High","Heterospecific",22,7.78,2.01398752880309,1.94627146734657,"Physiological"
"WL1-B-S","Pot-1","Wet","Low","Conspecific",35,16.84,-4.33510789121646,0.762542116057767,"Root"
"WL2-B-S","Pot-2","Wet","Low","Conspecific",54,13.34,0.802895750913638,1.10191374403121,"Root"
"WL3-B-S","Pot-3","Wet","Low","Conspecific",52,15.96,0.0193533496378467,1.25957470097443,"Root"
"WL4-B-S","Pot-4","Wet","Low","Conspecific",57,16.32,0.9879748684544,1.02449132006907,"Root"
"WL5-B-S","Pot-5","Wet","Low","Conspecific",51,12.38,-1.08553120159633,0.771201633712671,"Root"
"WL6-B-S","Pot-6","Wet","Low","Conspecific",69,11.98,0.357339584239626,1.15572366651454,"Root"
"WL7-B-S","Pot-7","Wet","Low","Conspecific",57,13.62,2.04659967610616,1.53096590138715,"Root"
"WL8-B-S","Pot-8","Wet","Low","Conspecific",46,14.96,0.415166735152169,0.188134275943724,"Root"
"WL9-B-S","Pot-9","Wet","Low","Conspecific",55,12.86,0.267517870298724,1.21760961804996,"Root"
"WL10-B-S","Pot-10","Wet","Low","Conspecific",52,11.92,1.44985889153109,1.02646477305221,"Root"
"WL21-B-M","Pot-21","Wet","Low","Heterospecific",30,17.15,0.412006363439019,1.25324701476057,"Root"
"WL22-B-M","Pot-22","Wet","Low","Heterospecific",40,15.18,1.5777794682891,1.09464502425506,"Root"
"WL23-B-M","Pot-23","Wet","Low","Heterospecific",20,10.52,1.43538697419474,0.672825387649801,"Root"
"WL24-B-M","Pot-24","Wet","Low","Heterospecific",38,11.1,2.31636458105309,1.2674872507457,"Root"
"WL25-B-M","Pot-25","Wet","Low","Heterospecific",29,14.76,1.2401610625067,-0.0476145230867796,"Root"
"WL26-B-M","Pot-26","Wet","Low","Heterospecific",33,9.52,1.36436142311073,0.975774474387961,"Root"
"WL27-B-M","Pot-27","Wet","Low","Heterospecific",44,10.76,-1.19404847100856,0.279681333212201,"Root"
"WL28-B-M","Pot-28","Wet","Low","Heterospecific",50,9.64,0.342129184418357,1.20585110213064,"Root"
"WL29-B-M","Pot-29","Wet","Low","Heterospecific",20,10.46,1.03812334135022,0.144211919647729,"Root"
"WL30-B-M","Pot-30","Wet","Low","Heterospecific",38,13.46,-0.102669946919981,0.740107194465197,"Root"
"WH31-B-S","Pot-31","Wet","High","Conspecific",61,11.32,-0.610341542585192,0.815124654487982,"Root"
"WH32-B-S","Pot-32","Wet","High","Conspecific",41,12.34,-2.77016109294374,-0.27006186177318,"Root"
"WH33-B-S","Pot-33","Wet","High","Conspecific",38,13.42,-1.81531054848519,0.323702552089983,"Root"
"WH34-B-S","Pot-34","Wet","High","Conspecific",38,11.34,0.78019121274157,0.690416011393058,"Root"
"WH35-B-S","Pot-35","Wet","High","Conspecific",57,11.62,-3.16606465137714,-0.263987255227825,"Root"
"WH36-B-S","Pot-36","Wet","High","Conspecific",49,14.24,2.10129688828589,0.891104863682246,"Root"
"WH37-B-S","Pot-37","Wet","High","Conspecific",44,11.32,-1.85021006717571,0.78852652200544,"Root"
"WH38-B-S","Pot-38","Wet","High","Conspecific",39,13.84,-1.45939163615949,-0.020987397738808,"Root"
"WH39-B-S","Pot-39","Wet","High","Conspecific",47,14.32,-1.37035636205459,0.359526501204709,"Root"
"WH40-B-S","Pot-40","Wet","High","Conspecific",44,15.52,0.0778058592550096,2.11805633946324,"Root"
"WH51-B-M","Pot-51","Wet","High","Heterospecific",42,10.32,-0.684840765995245,1.30478931449482,"Root"
"WH52-B-M","Pot-52","Wet","High","Heterospecific",28,12.68,-1.36292200965403,0.941652834832662,"Root"
"WH53-B-M","Pot-53","Wet","High","Heterospecific",41,14.64,-0.135718242042005,0.785676852648437,"Root"
"WH54-B-M","Pot-54","Wet","High","Heterospecific",39,12.6,-1.68095690914377,1.01041929341746,"Root"
"WH55-B-M","Pot-55","Wet","High","Heterospecific",47,12.7,0.0189440986977865,0.136681587021392,"Root"
"WH56-B-M","Pot-56","Wet","High","Heterospecific",14,12.94,0.0969656253343003,1.2592431792743,"Root"
"WH57-B-M","Pot-57","Wet","High","Heterospecific",39,13.52,-2.56052041844684,1.37252656045183,"Root"
"WH58-B-M","Pot-58","Wet","High","Heterospecific",41,14.34,-2.82082589195638,0.679581677230368,"Root"
