"Trait","term","DF","Sum_Sq","F","p","Variance_Explained","Partial_Eta2"
"RCC","Intensity",1,0.869225137564911,0.235525972767423,0.629284511736763,0.400926782772824,0.00404436928890385
"RCC","Frequency",1,0.884766294568124,0.239737017711852,0.626242942916,0.408095082225508,0.00411638221578753
"RCC","TB_pot_c",1,0.580393748685538,0.157263977236375,0.693143447502174,0.267704405160021,0.0027041158142847
"RCC","Intensity:Frequency",1,0.28132214483054,0.0762272844614815,0.78345812310929,0.129758767407064,0.0013125385037171
"RCC","Intensity:TB_pot_c",1,0.0482512046262968,0.0130741869001228,0.909361272355017,0.0222556842867303,0.000225366214139968
"RCC","Frequency:TB_pot_c",1,0.0799086177802621,0.0216521061366463,0.883526659066262,0.0368575454826527,0.000373172864796042
"RCC","Intensity:Frequency:TB_pot_c",1,0.00701992598951051,0.00190212503755543,0.965362408059514,0.00323791411528018,3.27941837744377e-05
"RCC","Residuals",58,214.053071881582,NA,NA,98.7311638185499,NA
"RNC","Intensity",1,0.00967276222827473,1.68012867369803,0.200041436166691,2.18017772004992,0.0281522294109679
"RNC","Frequency",1,0.0110965428275845,1.92743492950187,0.170348788795697,2.50108861061032,0.0321628137725115
"RNC","TB_pot_c",1,0.0143128376418763,2.48609532174865,0.120295582897432,3.22602055143005,0.0411019310888587
"RNC","Intensity:Frequency",1,0.0159368909519403,2.76818832367075,0.101549471111575,3.5920716089475,0.0455532475137567
"RNC","Intensity:TB_pot_c",1,0.0210213034875181,3.65133494594202,0.0609710887316002,4.73806513882116,0.0592255617683484
"RNC","Frequency:TB_pot_c",1,0.0187182973443095,3.25130995146869,0.0765616665894936,4.21898252683629,0.0530814762009955
"RNC","Intensity:Frequency:TB_pot_c",1,0.0189948600287249,3.29934802841044,0.0744761459208436,4.28131795786726,0.0538235419221962
"RNC","Residuals",58,0.333915025689732,NA,NA,75.2622758854375,NA
"Root_CN","Intensity",1,21.3424505543899,1.02721466099979,0.315023237363643,1.47322883422,0.0174023908615577
"Root_CN","Frequency",1,26.2423221063934,1.26304605638744,0.26570539275289,1.81145766300373,0.0213125402832936
"Root_CN","TB_pot_c",1,32.4282795300464,1.56077691637952,0.216569874039901,2.23846255733665,0.0262047776604858
"Root_CN","Intensity:Frequency",1,38.4107601685059,1.84871441471468,0.179195522913949,2.65142183557327,0.0308897932527712
"Root_CN","Intensity:TB_pot_c",1,48.3623084559247,2.32768360686217,0.132525829262785,3.33835831668614,0.0385840043524794
"Root_CN","Frequency:TB_pot_c",1,40.5783207471372,1.95303936087309,0.167582703266893,2.80104442629781,0.0325761526303485
"Root_CN","Intensity:Frequency:TB_pot_c",1,36.25427441325,1.74492250111081,0.191704448925869,2.50256371887615,0.0292062057839035
"Root_CN","Residuals",58,1205.06665174522,NA,NA,83.1834626480063,NA
